GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US00601,00601,ZCTA5 00601,11507,1192
8600000US00602,00602,ZCTA5 00602,15511,1381
8600000US00603,00603,ZCTA5 00603,16681,903
8600000US00606,00606,ZCTA5 00606,11648,2555
8600000US00610,00610,ZCTA5 00610,17751,1326
8600000US00612,00612,ZCTA5 00612,17208,928
8600000US00616,00616,ZCTA5 00616,14490,1775
8600000US00617,00617,ZCTA5 00617,15645,1858
8600000US00622,00622,ZCTA5 00622,16784,3725
8600000US00623,00623,ZCTA5 00623,17134,1286
8600000US00624,00624,ZCTA5 00624,16764,1576
8600000US00627,00627,ZCTA5 00627,17206,1131
8600000US00631,00631,ZCTA5 00631,7948,2384
8600000US00637,00637,ZCTA5 00637,14877,2009
8600000US00638,00638,ZCTA5 00638,12486,1591
8600000US00641,00641,ZCTA5 00641,16181,1135
8600000US00646,00646,ZCTA5 00646,27967,2845
8600000US00647,00647,ZCTA5 00647,13312,1518
8600000US00650,00650,ZCTA5 00650,15807,2806
8600000US00652,00652,ZCTA5 00652,19497,3248
8600000US00653,00653,ZCTA5 00653,13175,1241
8600000US00656,00656,ZCTA5 00656,14828,1185
8600000US00659,00659,ZCTA5 00659,18480,1377
8600000US00660,00660,ZCTA5 00660,20589,1855
8600000US00662,00662,ZCTA5 00662,16291,1151
8600000US00664,00664,ZCTA5 00664,15749,2186
8600000US00667,00667,ZCTA5 00667,12736,1431
8600000US00669,00669,ZCTA5 00669,12552,910
8600000US00670,00670,ZCTA5 00670,13209,2709
8600000US00674,00674,ZCTA5 00674,18549,1510
8600000US00676,00676,ZCTA5 00676,14149,1250
8600000US00677,00677,ZCTA5 00677,17881,1513
8600000US00678,00678,ZCTA5 00678,15208,1427
8600000US00680,00680,ZCTA5 00680,14575,980
8600000US00682,00682,ZCTA5 00682,15804,1432
8600000US00683,00683,ZCTA5 00683,15198,1413
8600000US00685,00685,ZCTA5 00685,13840,1136
8600000US00687,00687,ZCTA5 00687,17649,1387
8600000US00688,00688,ZCTA5 00688,14697,2294
8600000US00690,00690,ZCTA5 00690,20668,2598
8600000US00692,00692,ZCTA5 00692,18593,1388
8600000US00693,00693,ZCTA5 00693,17624,1195
8600000US00694,00694,ZCTA5 00694,10550,4620
8600000US00698,00698,ZCTA5 00698,14734,1165
8600000US00703,00703,ZCTA5 00703,15276,1370
8600000US00704,00704,ZCTA5 00704,14528,2597
8600000US00705,00705,ZCTA5 00705,17893,1473
8600000US00707,00707,ZCTA5 00707,18815,3533
8600000US00714,00714,ZCTA5 00714,16538,2097
8600000US00715,00715,ZCTA5 00715,12229,1614
8600000US00716,00716,ZCTA5 00716,18595,1546
8600000US00717,00717,ZCTA5 00717,11597,1235
8600000US00718,00718,ZCTA5 00718,18906,972
8600000US00719,00719,ZCTA5 00719,19247,2073
8600000US00720,00720,ZCTA5 00720,14845,1153
8600000US00723,00723,ZCTA5 00723,13975,1046
8600000US00725,00725,ZCTA5 00725,20072,1071
8600000US00727,00727,ZCTA5 00727,30890,1546
8600000US00728,00728,ZCTA5 00728,18099,996
8600000US00729,00729,ZCTA5 00729,20805,1572
8600000US00730,00730,ZCTA5 00730,15046,989
8600000US00731,00731,ZCTA5 00731,16171,1823
8600000US00735,00735,ZCTA5 00735,20204,1886
8600000US00736,00736,ZCTA5 00736,20571,1195
8600000US00738,00738,ZCTA5 00738,19809,1585
8600000US00739,00739,ZCTA5 00739,21818,1373
8600000US00740,00740,ZCTA5 00740,14500,3769
8600000US00741,00741,ZCTA5 00741,20363,4363
8600000US00745,00745,ZCTA5 00745,23344,1792
8600000US00751,00751,ZCTA5 00751,16177,1626
8600000US00754,00754,ZCTA5 00754,16927,1285
8600000US00757,00757,ZCTA5 00757,15295,1837
8600000US00765,00765,ZCTA5 00765,17604,3984
8600000US00766,00766,ZCTA5 00766,18670,1212
8600000US00767,00767,ZCTA5 00767,16342,1518
8600000US00769,00769,ZCTA5 00769,18578,1364
8600000US00771,00771,ZCTA5 00771,19982,1957
8600000US00772,00772,ZCTA5 00772,15725,1917
8600000US00773,00773,ZCTA5 00773,19658,2017
8600000US00775,00775,ZCTA5 00775,20221,3645
8600000US00777,00777,ZCTA5 00777,19249,1520
8600000US00778,00778,ZCTA5 00778,31070,2435
8600000US00780,00780,ZCTA5 00780,20985,1857
8600000US00782,00782,ZCTA5 00782,12752,1265
8600000US00783,00783,ZCTA5 00783,14465,1332
8600000US00784,00784,ZCTA5 00784,15383,897
8600000US00786,00786,ZCTA5 00786,-,**
8600000US00791,00791,ZCTA5 00791,19269,775
8600000US00794,00794,ZCTA5 00794,14785,1219
8600000US00795,00795,ZCTA5 00795,20459,970
8600000US00901,00901,ZCTA5 00901,16612,2276
8600000US00906,00906,ZCTA5 00906,-,**
8600000US00907,00907,ZCTA5 00907,31836,3542
8600000US00909,00909,ZCTA5 00909,16219,1656
8600000US00911,00911,ZCTA5 00911,29325,3153
8600000US00912,00912,ZCTA5 00912,20663,4097
8600000US00913,00913,ZCTA5 00913,6989,1802
8600000US00915,00915,ZCTA5 00915,13573,1073
8600000US00917,00917,ZCTA5 00917,13913,1389
8600000US00918,00918,ZCTA5 00918,21030,3505
8600000US00920,00920,ZCTA5 00920,25591,1646
8600000US00921,00921,ZCTA5 00921,18334,1222
8600000US00923,00923,ZCTA5 00923,14631,1346
8600000US00924,00924,ZCTA5 00924,18535,1167
8600000US00925,00925,ZCTA5 00925,10247,2188
8600000US00926,00926,ZCTA5 00926,32583,1951
8600000US00927,00927,ZCTA5 00927,32083,3532
8600000US00934,00934,ZCTA5 00934,66063,14689
8600000US00936,00936,ZCTA5 00936,-,**
8600000US00949,00949,ZCTA5 00949,25226,988
8600000US00950,00950,ZCTA5 00950,-,**
8600000US00951,00951,ZCTA5 00951,-,**
8600000US00952,00952,ZCTA5 00952,16577,2133
8600000US00953,00953,ZCTA5 00953,29793,1497
8600000US00956,00956,ZCTA5 00956,22432,958
8600000US00957,00957,ZCTA5 00957,23886,1308
8600000US00959,00959,ZCTA5 00959,28215,1924
8600000US00960,00960,ZCTA5 00960,-,**
8600000US00961,00961,ZCTA5 00961,28203,2207
8600000US00962,00962,ZCTA5 00962,15782,1296
8600000US00965,00965,ZCTA5 00965,15274,1899
8600000US00966,00966,ZCTA5 00966,50570,6908
8600000US00968,00968,ZCTA5 00968,46047,6017
8600000US00969,00969,ZCTA5 00969,53175,2836
8600000US00971,00971,ZCTA5 00971,20860,2254
8600000US00976,00976,ZCTA5 00976,30027,1424
8600000US00979,00979,ZCTA5 00979,35251,4139
8600000US00982,00982,ZCTA5 00982,25362,4104
8600000US00983,00983,ZCTA5 00983,27612,1678
8600000US00985,00985,ZCTA5 00985,24091,1271
