zipcode,median_income
ZCTA5 00601,11507
ZCTA5 00602,15511
ZCTA5 00603,16681
ZCTA5 00606,11648
ZCTA5 00610,17751
ZCTA5 00612,17208
ZCTA5 00616,14490
ZCTA5 00617,15645
ZCTA5 00622,16784
ZCTA5 00623,17134
ZCTA5 00624,16764
ZCTA5 00627,17206
ZCTA5 00631,7948
ZCTA5 00637,14877
ZCTA5 00638,12486
ZCTA5 00641,16181
ZCTA5 00646,27967
ZCTA5 00647,13312
ZCTA5 00650,15807
ZCTA5 00652,19497
ZCTA5 00653,13175
ZCTA5 00656,14828
ZCTA5 00659,18480
ZCTA5 00660,20589
ZCTA5 00662,16291
ZCTA5 00664,15749
ZCTA5 00667,12736
ZCTA5 00669,12552
ZCTA5 00670,13209
ZCTA5 00674,18549
ZCTA5 00676,14149
ZCTA5 00677,17881
ZCTA5 00678,15208
ZCTA5 00680,14575
ZCTA5 00682,15804
ZCTA5 00683,15198
ZCTA5 00685,13840
ZCTA5 00687,17649
ZCTA5 00688,14697
ZCTA5 00690,20668
ZCTA5 00692,18593
ZCTA5 00693,17624
ZCTA5 00694,10550
ZCTA5 00698,14734
ZCTA5 00703,15276
ZCTA5 00704,14528
ZCTA5 00705,17893
ZCTA5 00707,18815
ZCTA5 00714,16538
ZCTA5 00715,12229
ZCTA5 00716,18595
ZCTA5 00717,11597
ZCTA5 00718,18906
ZCTA5 00719,19247
ZCTA5 00720,14845
ZCTA5 00723,13975
ZCTA5 00725,20072
ZCTA5 00727,30890
ZCTA5 00728,18099
ZCTA5 00729,20805
ZCTA5 00730,15046
ZCTA5 00731,16171
ZCTA5 00735,20204
ZCTA5 00736,20571
ZCTA5 00738,19809
ZCTA5 00739,21818
ZCTA5 00740,14500
ZCTA5 00741,20363
ZCTA5 00745,23344
ZCTA5 00751,16177
ZCTA5 00754,16927
ZCTA5 00757,15295
ZCTA5 00765,17604
ZCTA5 00766,18670
ZCTA5 00767,16342
ZCTA5 00769,18578
ZCTA5 00771,19982
ZCTA5 00772,15725
ZCTA5 00773,19658
ZCTA5 00775,20221
ZCTA5 00777,19249
ZCTA5 00778,31070
ZCTA5 00780,20985
ZCTA5 00782,12752
ZCTA5 00783,14465
ZCTA5 00784,15383
ZCTA5 00786,0
ZCTA5 00791,19269
ZCTA5 00794,14785
ZCTA5 00795,20459
ZCTA5 00901,16612
ZCTA5 00906,0
ZCTA5 00907,31836
ZCTA5 00909,16219
ZCTA5 00911,29325
ZCTA5 00912,20663
ZCTA5 00913,6989
ZCTA5 00915,13573
ZCTA5 00917,13913
ZCTA5 00918,21030
ZCTA5 00920,25591
ZCTA5 00921,18334
ZCTA5 00923,14631
ZCTA5 00924,18535
ZCTA5 00925,10247
ZCTA5 00926,32583
ZCTA5 00927,32083
ZCTA5 00934,66063
ZCTA5 00936,0
ZCTA5 00949,25226
ZCTA5 00950,0
ZCTA5 00951,0
ZCTA5 00952,16577
ZCTA5 00953,29793
ZCTA5 00956,22432
ZCTA5 00957,23886
ZCTA5 00959,28215
ZCTA5 00960,0
ZCTA5 00961,28203
ZCTA5 00962,15782
ZCTA5 00965,15274
ZCTA5 00966,50570
ZCTA5 00968,46047
ZCTA5 00969,53175
ZCTA5 00971,20860
ZCTA5 00976,30027
ZCTA5 00979,35251
ZCTA5 00982,25362
ZCTA5 00983,27612
ZCTA5 00985,24091
ZCTA5 00987,31758
ZCTA5 01001,56714
ZCTA5 01002,48923
ZCTA5 01003,100791
ZCTA5 01005,70568
ZCTA5 01007,80502
ZCTA5 01008,67250
ZCTA5 01009,0
ZCTA5 01010,83273
ZCTA5 01011,74722
ZCTA5 01012,60417
ZCTA5 01013,40876
ZCTA5 01020,57851
ZCTA5 01022,44701
