zipcode,income
01841,193053.93
01844,231748.84
01960,272888.2
02124,191058.26
02148,261857.24
02151,214681.33
02155,326416.22
02169,279001.48
02301,231678.91
02360,329013.1
02780,201757.13
06010,267316.15
06457,212786.1
06511,160058.49
06516,210320.63
06606,166274.48
06810,187291.28
06902,415553.8
07002,261097.98
07003,239212.22
07030,898534.09
07047,215971.97
07052,349810.4
07055,230230.86
07083,290788.01
07087,231131.65
07093,217781.14
07104,169143.23
07105,131333.5
07111,200998.45
07305,222713.08
07306,197562.92
07470,472921.74
07728,345406.88
08081,228372.66
08302,139725.13
08527,310878.69
08540,1121119.74
08701,255166.99
08753,308801.9
08816,383357.38
08831,399997.71
08854,284092.51
08861,210612.97
08873,323287.93
08901,148917.15
10002,306036.09
10003,1541729.29
10009,349162.18
10011,2251934.47
10016,1465626.84
10023,3281185.27
10024,2739814.05
10025,1119610.55
10027,212082.09
10029,259873.67
10031,212822.31
10032,213896.34
10033,190704.09
10128,2416519.39
10306,289268.13
10312,386959.47
10314,436829.69
10451,171924.75
10452,276619.37
10453,290139.93
10456,315358.47
10457,251989.68
10458,256294.71
10459,162293.62
10460,186257.36
10461,193624.77
10462,305547.39
10463,284685.83
10466,243905.42
10467,326088.54
10468,263956.34
10469,242406.01
10472,211083.46
10473,205393.51
10701,211402.28
10940,196660.99
10950,189730.91
10977,187015.71
11201,1232247.96
11203,283567.25
11204,241139.14
11206,273542.48
11207,318892.83
11208,328369.05
11209,338493.46
11210,248775.71
11211,289056.89
11212,288113.13
11213,217761.29
11214,283199.93
11215,756275.33
11216,230361.99
11218,256915.58
11219,255129.47
11220,406400.48
11221,288219.51
11223,256429.49
11225,233453.35
11226,388841.23
11229,286815.16
11230,286247.28
11233,231796.74
11234,374129.27
11235,285919.75
11236,362952.24
11237,183307.17
11238,338038.57
11354,193259.31
11355,346564.1
11368,351757.0
11372,246494.58
11373,349427.63
11375,481074.94
11377,320151.91
11385,365499.68
11419,165625.99
11420,169202.88
11432,198809.93
11434,249443.08
11435,186842.87
11550,207631.0
11691,158639.95
11706,264500.97
11717,254671.45
11746,475775.3
11758,435421.24
12180,186110.09
12550,199976.8
14094,198231.56
14221,358548.93
14580,301425.05
14850,227876.38
15301,195195.97
15601,251911.77
17331,224378.93
17601,275443.98
17602,183933.62
17603,243336.93
18102,176037.06
18103,184931.41
19020,253137.81
19067,446279.96
19104,97735.09
19111,221135.63
19120,226243.8
19124,206904.59
19134,156680.15
19140,157129.04
19143,218074.71
