,zipcode,median_income
386,01841,34636
388,01844,72664
428,01960,63822
475,02124,50044
495,02148,60045
498,02151,51468
500,02155,79572
502,02169,62157
517,02301,44873
534,02360,80905
665,02780,51820
1682,06010,61551
1849,06457,63828
1873,06511,38224
1878,06516,50831
1886,06606,53742
1934,06810,56110
1958,06902,68881
1964,07002,54862
1965,07003,72881
1988,07030,118479
2003,07047,56129
2005,07052,92479
2007,07055,33904
2033,07083,80474
2035,07087,42546
2039,07093,50972
2044,07104,33204
2045,07105,44096
2051,07111,37538
2063,07305,46652
2064,07306,49540
2102,07470,107320
2174,07728,85780
2339,08081,82647
2393,08302,49189
2441,08527,86592
2448,08540,124954
2475,08701,42993
2495,08753,73227
2509,08816,101245
2522,08831,73122
2535,08854,89244
2539,08861,50067
2545,08873,87213
2555,08901,40428
2559,10002,35594
2560,10003,100791
2565,10009,60788
2567,10011,114134
2571,10016,102703
2578,10023,115080
2579,10024,118594
2580,10025,80025
2582,10027,42754
2584,10029,32500
2586,10031,41848
2587,10032,40054
2588,10033,46349
2606,10128,103817
2632,10306,78745
2638,10312,88567
2639,10314,77761
2640,10451,26419
2641,10452,25771
2642,10453,22914
2645,10456,25868
2646,10457,25967
2647,10458,30339
2648,10459,24805
2649,10460,24086
2650,10461,55332
2651,10462,48315
2652,10463,56568
2655,10466,44354
2656,10467,34964
2657,10468,34988
2658,10469,57124
2661,10472,29934
2662,10473,36686
2732,10701,45049
2768,10940,56758
2770,10950,66959
2788,10977,56724
2825,11201,109472
2826,11203,46971
2827,11204,47135
2829,11206,31549
2830,11207,35849
2831,11208,37640
2832,11209,65181
2833,11210,59520
2834,11211,59190
2835,11212,28495
2836,11213,37556
2837,11214,52119
2838,11215,108178
2839,11216,52239
2841,11218,60821
2842,11219,36573
2843,11220,40576
2844,11221,43361
2846,11223,44647
2848,11225,48597
2849,11226,45031
2851,11229,55187
2852,11230,43344
2855,11233,35686
2856,11234,75362
2857,11235,45578
2858,11236,60885
2859,11237,46351
2860,11238,75757
2863,11354,43660
2864,11355,38451
2877,11368,45980
2881,11372,52792
2882,11373,45677
2884,11375,72982
2885,11377,51675
2888,11385,60526
2897,11419,62014
2898,11420,61484
2909,11432,52277
2911,11434,57454
2912,11435,55268
2929,11550,57497
2955,11691,41190
2965,11706,79928
2972,11717,69615
2994,11746,101171
3004,11758,109123
3201,12180,50530
3355,12550,55631
4024,14094,52618
4079,14221,78002
4180,14580,72157
4311,14850,50290
4490,15301,52032
4647,15601,54649
5389,17331,58670
5463,17601,68368
5464,17602,48100
5465,17603,46123
5660,18102,30767
5661,18103,51279
5931,19020,62336
5964,19067,100455
5985,19104,21773
5989,19111,44737
5997,19120,34720
