,city,density,population,state,zipcode
877,LAWRENCE,15434,47676,MA,01841
876,METHUEN,2146,47690,MA,01844
667,PEABODY,3208,51319,MA,01960
664,DORCHESTER CENTER,17110,51382,MA,02124
328,MALDEN,11859,59819,MA,02148
611,REVERE,8957,52534,MA,02151
359,MEDFORD,7177,58832,MA,02155
487,QUINCY,6138,55064,MA,02169
355,BROCKTON,4744,58982,MA,02301
418,PLYMOUTH,595,56816,MA,02360
789,TAUNTON,1488,49151,MA,02780
310,BRISTOL,2292,60525,CT,06010
887,MIDDLETOWN,1159,47539,CT,06457
584,NEW HAVEN,8950,53062,CT,06511
478,WEST HAVEN,5150,55349,CT,06516
858,BRIDGEPORT,9056,47916,CT,06606
750,DANBURY,2406,49777,CT,06810
191,STAMFORD,6549,66657,CT,06902
230,BAYONNE,10935,63819,NJ,07002
895,BLOOMFIELD,8972,47442,NJ,07003
692,HOBOKEN,40292,50929,NJ,07030
282,NORTH BERGEN,11966,61434,NJ,07047
970,WEST ORANGE,3848,46386,NJ,07052
149,PASSAIC,22354,70215,NJ,07055
563,UNION,6186,53503,NJ,07083
183,UNION CITY,52458,67566,NJ,07087
265,WEST NEW YORK,51470,61919,NJ,07093
696,NEWARK,20052,50813,NJ,07104
714,NEWARK,10879,50466,NJ,07105
534,IRVINGTON,18492,54144,NJ,07111
239,JERSEY CITY,10858,63033,NJ,07305
550,JERSEY CITY,19753,53767,NJ,07306
495,WAYNE,2307,54849,NJ,07470
433,FREEHOLD,1159,56270,NJ,07728
700,SICKLERVILLE,1900,50784,NJ,08081
859,BRIDGETON,335,47895,NJ,08302
494,JACKSON,644,54867,NJ,08527
902,PRINCETON,911,47316,NJ,08540
25,LAKEWOOD,3765,92586,NJ,08701
229,TOMS RIVER,2768,63891,NJ,08753
951,EAST BRUNSWICK,2266,46550,NJ,08816
929,MONROE TOWNSHIP,929,46818,NJ,08831
414,PISCATAWAY,3021,56874,NJ,08854
569,PERTH AMBOY,10288,53415,NJ,08861
685,SOMERSET,1581,51048,NJ,08873
474,NEW BRUNSWICK,8765,55476,NJ,08901
58,NEW YORK,93505,82191,NY,10002
404,NEW YORK,99497,57310,NY,10003
